"Gap ID","Event / claim","Expected legal, factual or accounting chain","Currently proved","Exact break","Competing explanations","Decisive missing evidence","Probable holder / retrieval route","Conclusion if proved","Conclusion if disproved / absent","Priority","Status","Evidence label","Contradiction rank"
"G026","18 May approval conditions","Exact proposal/auto terms → classify each condition → performance evidence","Approval and terms are controlled at high level","No condition-by-condition operative quote and consequence map","Some items are offer terms, some duties, some conditions, some mere implementation","Certified auto/offer/applicable law and performance pack","Court, parties, legal expert","transaction chain strengthens","identify exact unmet obligation and remedy","P0","LEGAL OPINION REQUIRED","UNRESOLVED","C"
"G027","26 January clarification package","Applications → service/opposition → two autos → correct testimony","Two original autos and applications located","Responses, service log, exact testimony and 22 Jan reference unresolved","Normal clarification; missing distinct act; testimony error","Certified file 20 Jan–14 Feb, testimony issued to CAM/notary","Court, procuradoras, notary","clarification identity/notice closes","testimony/finality basis needs correction","P0","PARTIAL","UNRESOLVED","B"
"G028","Finality/enforceability branch","Service → appeal deadline → reposición/review → stays → terminal decision","The chain from 11/14 Feb 2022 through the mistaken June deposit ruling, Auto 308/2022, July routing, AP material and two terminal 30 Jan 2023 review dismissals is substantially controlled.","The underlying AP queja 375/22 order is missing and later primary recitals conflict between 4 Jul and 27 Jul 2022; economic-condition performance is not proved by finality acts.","Review concerned office acts only; substantive approval stayed/set aside; procedural error later cured","Underlying AP queja 375/22 order/notification and a legal map separating substantive finality, testimony validity, stays and economic performance.","Court, parties, notary","approval final/enforceable. Proved adverse effect: deed authority/timing must be reassessed","","P0","PARTIAL","UNRESOLVED","B"
"G029","Protocol 457 filing within five days","Executed deed → AC submission → timestamp/receipt → court response","Deed imposes/reporting commitment","No filing receipt or response","Timely filing exists; late/no filing; docket not searched completely","AC outbound filing, LexNET receipt, court event and order","AC, court, procuradora, notary","duty satisfied","consequence/accountability requires legal analysis, not automatic invalidity","P0","OPEN","UNRESOLVED","C"
"G030","Registry title and charge cancellation","Deed → presentation → qualification → title entry → cancellation mandamiento/entry → later transfers","Finca 8751 sample shows CAM title and mortgage still under charges at date","158 other tracts and later cancellation/current ownership absent","Simultaneous processing pending; later cancellation; defects; partial registration","Certified historic tract for all fincas, presentations and mandamientos","Tías Registry, court, notary","property-by-property title/charges close","identify defects/continuing charges","P0","PARTIAL","UNRESOLVED","B"
"G031","Sobrante legal trigger and payment","Operative formula → same-asset closing value/price → allowed secured debt → deductions → amount → recipient/payment","General plan surplus/difference logic; no matched ledger","Exact trigger, valuation base, amount and payment absent","No surplus arose; surplus arose and was paid; arose and unpaid; concept misapplied","Exact order text, legal opinion, matched valuation/payoff, court/estate bank evidence","Court, AC, CAM, bank, legal expert","close allegation. Proved due/unpaid: quantified estate claim/accounting issue","","P0","OPEN","UNRESOLVED","B"
"G032","AC reports, accounts and conclusion","Quarterly reports → asset/cash changes → deed report → final account → objections/approval → conclusion","Selected 2018/2021/Jan 2022 reports and the 25 Apr 2022 AC report are controlled; the latter reports Protocol 457 transfer and treasury of €2,098.","AC report reg. 5367/2022, later reports, estate bank/closing ledger, rendition/final accounts, objections and conclusion act remain absent.","Full compliant accounting exists; unresolved assets/proceeds remained","Every AC report/annex, accounts, objections and conclusion act","Court, AC, procuradora","performance and closure traceable","unresolved estate/accounting issues","P0","PARTIAL","UNRESOLVED","B"
"G033","Liquidation extension after 24 Feb 2022","Extension expiry → completion or new reasoned request/order → later acts","One-year extension to 24 Feb 2022; deed on 21 Feb","Later extension/status missing","Liquidation completed; further extension granted; deadline lapse without automatic invalidity","Later requests/orders and legal consequence analysis","Court, AC","close","AC delay/removal/accounting issue, not automatic transaction nullity","P0","OPEN","UNRESOLVED","C"
"G034","Community claim and bidder condition","2017 contingent claim + mass charges → quantified ledgers → bidder assumption/payment","2017 auto and 2021 statement that €1.145m was not judicially recognised","Actual liability/payment and split absent","Valid separate obligations; overstated condition; assumption never called","Community books, 2017 application/AC report, certificates, bank and litigation","Community/CEXP, AC, court, CAM","exact amounts/classification/payment","condition/performance representations need correction","P0","OPEN","UNRESOLVED","C"
"G035","CAM→HNT segregation","Corporate resolution/project → deed → Mercantile Registry → asset/passive schedules → Property Registry/contract notices","BORME announcement","Execution, registration and perimeter absent","Segregation completed as announced; amended/abandoned/partial; assets lacked CAM title","Resolutions, project, deed, registration, schedules","Mercantile Registry, notary, CAM/HNT","exact succession perimeter","later “HNT acquired entire hotel” claims fail","P0","OPEN","UNRESOLVED","B"
"G036","HNT/Canarian Hospitality/MYND present roles","HNT title/lease → licence → management/brand contract → actual operation/income","Later public/operator descriptions exist generally","No contract/licence/title chain controlled","HNT owner/operator; Canarian Hospitality manager; MYND brand; other combination","Contracts, licences, Registry records, invoices and accounts","Companies, Yaiza, Cabildo, tax, Registry","role-specific present chain","public role descriptions must be corrected","P0","OPEN","UNRESOLVED","B"
"G037","Administrative/RICPE/tax representations","Exact application → attached title/authority → agency assessment/decision → later use","Report notes general 159/220/whole-hotel representations","Primary file sets, dates and attached title packs absent","Economic shorthand only; material ownership representation; agency independently verified or merely repeated","RICPE/RPE, Yaiza, Cabildo, tourism, ATC/AEAT files and source captures","Authorities, promoters, advisers","who represented what and what authority knew","allegations of misrepresentation cannot stand","P0","OPEN","UNRESOLVED","B"
"G038","Matkator IBI/basura payer/control indicator","Municipal roll → notices → payer/debit source → authority for payment → title/use consequence","Report does not analyse this issue","Payer history since 2018 absent","CAM/Community paid voluntarily; address/collection change; liability shifted; no payment","Yaiza tax account, bank debit, payer identity, notices and instructions","Ayuntamiento de Yaiza, bank, Matkator, payer","evidence of conduct/claimed control, not title by itself","suspicion must be withdrawn","P1","OPEN","UNRESOLVED","C"
"G039","2023 culpability judgment and appeal","Judgment findings/evidence → appeal → appellate ruling/finality","Complete first-instance judgment exists; appeal status absent","Relevant findings not fully extracted and may be adverse/non-final","Judgment affirmed, modified, reversed or pending","Full appeal file and reasoned evidence map","Court/AP, counsel","use within exact scope","continue attribution and caveat","P0","PARTIAL","UNRESOLVED","B"
"G040","Judicial knowledge by date/person","Filing receipt → service → judge/LAJ assignment → citation/decision","Some filings/recitals show institutional receipt","Actual date, recipient, service and judge knowledge incomplete","Material in file but not considered; considered and rejected; never filed","Certified docket, service, assignments and hearing/decision citations","Court, procuradoras","knowledge timeline can support reconciliation analysis","do not impute knowledge","P1","OPEN","UNRESOLVED","C"
"G041","Procedural rights of third-party owners","Identified affected right → notice/service → opportunity → ruling/remedy","Plan excludes foreign assets; no Matkator adjudication shown","Complete service logs/standing/remedy evidence absent","No effect, so no notice required; appurtenant/use rights affected; notice given elsewhere","Schedules, notices, service logs, objections and remedies","Court, Registry, owners, Community","due-process gap closes","remedy/prejudice requires legal analysis","P0","OPEN","UNRESOLVED","B"
"G042","Movables, furniture, licences, goodwill, bookings and receivables","Ownership/inventory → plan treatment → conveyance/collection → present holder","Plan mentions some intangibles/receivables without support","No asset schedules, collections or conveyances","Assets never existed/recoverable; remained estate property; passed by separate contract","Inventories, accounts, contracts, licence files, collection records","AC, operators, authorities, accountants","non-real-estate perimeter closes","later whole-business claims overstated","P0","OPEN","UNRESOLVED","B"
"G043","Bankia/Swap/nullity litigation asset","Estate claim → valuation/funding → proceeding → judgment/settlement → proceeds/final accounts","2021 extension cites contemplated actions","Pleadings, outcome and accounting absent","Valuable claim pursued/recovered; abandoned/lost; claim belonged elsewhere","Litigation files, funding, judgments, settlements, bank receipts","Court(s), AC, counsel, Caixabank","estate value/proceeds reconciled","missing estate asset or no value, depending result","P0","OPEN","UNRESOLVED","B"
"G044","Website and data correction closure","Source correction → canonical data → generated pages/translation → deployed commit → cache/archive note","Current live GitHub Pages is verified against remote commit 1270540; exact Rank A contradictions, runtime injection paths and publicly served repository-only material are identified.","No canonical rebuild, source-to-descendant invalidation, private-vault separation, corrected deployment or rendered-DOM regression closure has occurred.","Local audit differs from live; stale data regenerates errors","Exact patch, route crawl, source-to-claim matrix, deployment proof","Repository/site maintainers","public record corrected","misinformation remains live","P0","PARTIAL","UNRESOLVED","A"
