"record_id","date","document_type","title_or_function","issuer_or_actor","court_or_forum","proceeding","source_system","source_locator","pages","complete_copy","annex_status","operative_or_evidential_effect","conditions_or_limits","asset_scope","evidence_label","retrieval_priority"
"E011","2018-04-26","Nota simple","Finca 8588 Matkator title","Registro de la Propiedad de Tías","Land Registry","Finca 8588; CRU 35019000361772","Google Drive","Google Drive; restricted source locator withheld","3","yes","post-2022 certified history absent","Shows Matkator 100 percent title; acquisition 1 Jun 2016, Protocol 412; mortgage noted","Informative note, not art. 225 certification; physical unit mappings conflict elsewhere","Matkator finca 8588","PROVEN BY PRIMARY DOCUMENT","controlled; certified history P0"
"E012","2018-06-04","Auto aclaratorio","Clarification of plan approval","Judge Alberto López Villarrubia; LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Gmail","message 194a98a11920fefd; 20180604 Auto Aclaracion Auto Aprobacion Plan Liquidacion.pdf","3","yes","17 May balance certificates absent","Clarifies competitive debt components, working-day period, deposit timing, no remate assignment and court-run licitation","Not a conveyance or final closing ledger; loan-2 printed components differ from subtotal by €30","Same 159 plus 31 proposal","PROVEN BY PRIMARY DOCUMENT; UNRESOLVED","controlled; balance certificates P0"
"E013","2018-06-15","Diligencia de ordenación","Publicity and better-offer implementation","LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Gmail","message 167c817fdf0b45e0; 10. Diligencia Notificación Liquidación 15JUN2018.pdf","2","yes","publication receipts and last-publication calculation absent","Orders notice-board and Public Insolvency Registry publication; ten days after last publication; licitation if a better offer appears","Procedural direction only; signed 18 Jun; no title, value or possession adjudication","159-apartment and 31-finca LPB branches","PROVEN BY PRIMARY DOCUMENT","controlled; publicity bundle P1"
"E014","2018-06-26","Auto","Suspension of realisation pending appeal","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld","2","yes","none indicated","Suspends only realisation of listed mortgaged apartment fincas; other liquidation continues","No possession, works, exploitation, income or keys authority","Listed mortgaged LPB apartments","PROVEN BY PRIMARY DOCUMENT","controlled"
"E015","2018-07-24","Reported court-office act","Estate insufficiency and mass-claim payment issue","Court office","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket lead registers","unknown","no","original, filings and service absent","Repository register identifies a mass-payment/insufficiency event later challenged by CAM","Secondary locator only; exact effect cannot be inferred","Estate liquidity and mass claims","DOCUMENT NOT YET LOCATED","P1"
"E016","2018-10-17","AC filing","Request for testimony of April and June autos","Insolvency administrator Francisco de Borja Rodríguez-Batllori Laffitte","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Gmail","message 19fa84e0224689b7; 0.20181017 Solicitud TESTIMONIO Concursal.pdf","1","yes","none indicated","AC requests testimony of existing plan-approval and suspension orders","Party application only; not a new merits authority or disposition","Existing plan and suspension rulings","PROVEN BY PRIMARY DOCUMENT","controlled"
"E017","2018-10-22","Diligencia de ordenación","Direction to deliver requested testimony","LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Gmail","message 19fa84e0224689b7; 0.20181022 DIOR Entrega TESTIMONIO AC.pdf","2","yes","none indicated","Directs delivery to the AC of testimony of the identified existing orders","Procedural implementation only; not new authority for disposition, possession or exploitation","Existing plan and suspension rulings","PROVEN BY PRIMARY DOCUMENT","controlled"
"E018","2018-11-21","AC filing","Opposition to CAM reposición on estate insufficiency","Insolvency administrator","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Gmail","message 167c817fdf0b45e0; Impugnación AC del Recurso de Reposición de CAM (21NOV2018).pdf","2","yes","native CAM burofax and terminal order absent","AC states plan auto was not final and expects €400,000 from unencumbered branch while warning estate liquidity may remain insufficient","Actor position only, not judicial decision or prior authority for deed","Estate liquidity and locales branch","PROVEN BY PRIMARY DOCUMENT","controlled; related filings P1"
"E019","2018-11-28","Public deed 2150","Direct sale of locales and pools","AC for LPB; CAM; Notary Manuel Guzmán Ramos","Notarial","Related to Concurso 36/2012 plan","Google Drive","Google Drive; restricted source locator withheld; alternate bundle 179RCavcOp4K9bJXXo_0Xr_chXzjaP-19; SHA-256 1ab0fca1692eb202dd0b439a165e56785550d7bc320c947d5953a32f0fc8c9c5","component span not independently controlled within 282-page bundle","not independently established","independent bank and final registry pack absent; exact component boundaries require control","Purports to sell 31 fincas for €400,000; recites cheque, receipt and notarial possession","Executed before 12 Dec LAJ direction; later convalidation refused; independent bank debit/credit, final application and post-ruling cure unresolved","Fincas 8508–8536, 8653 and 8654","PROVEN BY PRIMARY DOCUMENT; UNRESOLVED","controlled bundle; component topology and money/title trail P0"
"E020","2018-12-12","Diligencia de ordenación","Preclusion and direction to formalise locales sale","LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Gmail","message 167c817fdf0b45e0; Diligencia Preclusión Plazo Venta Locales-Piscinas (12DIC2018).pdf","1","yes","publication computation not attached","Declares better-offer period closed and directs AC to formalise sale of fincas 8508–8536, 8653 and 8654","Issued 14 days after deed; challengeable; later set aside by 24 Oct 2019 auto","31 LPB locales/pools fincas only","PROVEN BY PRIMARY DOCUMENT","controlled"
"E021","2018-12-20","AC quarterly report","Fourth liquidation report and locales receipt/application account","Insolvency administrator","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Google Drive and Gmail","Google Drive; restricted source locator withheld; Gmail message 18e95e07309c5491; AWESELL - 4º Informe trimestral LUCHY PLAYA BLANCA 4154-6009-1161 v.1.pdf","8 PDF pages: cover plus numbered 1-7","yes","independent bank records and final ledger absent","AC reports €400,000 cheque effective, LPB collection account opened, identified AC remuneration paid and other estate creditors contacted; lists €239,743.79 estate claims","AC representation, not independent bank proof or judicial validation; later non-convalidation controls authority question","Locales proceeds and estate accounting","PROVEN BY PRIMARY DOCUMENT; UNRESOLVED","controlled; bank/final ledger P0"
"E022","2019-01-09","Registry qualification","Ob-rem and registration obstacle concerning locales package","Registro de la Propiedad de Tías","Land Registry","Protocol 2150 title presentation","Google Drive","Google Drive; restricted source locator withheld; 282-page mixed bundle","component span not independently controlled within 282-page bundle","not independently established","exact component boundaries and complete later registration history absent","Identifies an ob-rem/cancellation obstacle and suspends relevant treatment","Registry qualification, not judicial title adjudication or final registry history","Locales/title package","PROVEN BY PRIMARY DOCUMENT; UNRESOLVED","controlled bundle; component topology and certified histories P0"
"E023","2019-01-10","Diligencia de ordenación","Admit challenges and make AC report available","LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Gmail","message 16852afcf702f59e; Adjunto1(30).pdf","2","yes","underlying challenges not appended to act","Admits LPB and Aweswell reposiciones; gives five days to oppose; routes nullity and extension to judge; places AC report before parties","Routing only; no merits decision or sale validation; dated 10 Jan and signed 14 Jan","Locales challenge and liquidation reporting","PROVEN BY PRIMARY DOCUMENT","controlled"
"E024","2019-01-10","Joint party filing","Request for disclosure of AC decisions and contracts","LPB and Aweswell","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Google Drive and Gmail","Google Drive; restricted source locator withheld; Gmail message 1683bff3fa36b376 LexNET receipt/extract","2","yes","referenced registry notes and earlier appeals not appended","Puts alleged pre-authorisation deed timing, pending challenges and ob-rem issues before court; requests AC disclosure","Proves filing/representations, not truth of allegations or judicial acceptance","Fincas 8508–8536, 8653 and 8654 and asserted ob-rem links","PROVEN BY PRIMARY DOCUMENT","controlled"
"E025","2019-03-11","LAJ act","Routing of challenges and requests","LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Gmail","message 19fa84e0224689b7; 0.20190311 DIOR Testimonios Fiscalia Comision Delitos AC.pdf","2","yes","underlying allegations and terminal rulings not attached","Records procedural status and routes specified applications to judge","Does not accept underlying allegations or supply merits authority","Locales and procedural requests","PROVEN BY PRIMARY DOCUMENT","controlled"
"E026","2019-03-20","AC application","Request to convalidate Protocol 2150","Insolvency administrator","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Later primary judicial recital","Auto of 24 Oct 2019, Google Drive; restricted source locator withheld, identifies application/date","unknown","no","original application and annexes absent","Later auto proves AC sought post-event convalidation","Application is not approval; primary original still missing","31-finca locales/pools deed","PROVEN BY PRIMARY DOCUMENT; DOCUMENT NOT YET LOCATED","P1"
"E027","2019-05-07","Reported decreto","Intermediate resolution of challenges to 12 Dec act","LAJ/court office","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket lead registers","unknown","no","original, service and review pack absent","Repository register identifies an intermediate decree","Secondary locator only; cannot be used as final validation or title ruling","Locales procedure","DOCUMENT NOT YET LOCATED","P1"
"E028","2019-07-23","Auto de apelación 78/2019","Appeal on plan and debt limits","President Juan José Cobo Plana; Magistrates Jesús Ángel Suárez Ramos and Margarita Hidalgo Bilbao","Audiencia Provincial de Las Palmas, Section 4","Rollo 1094/2018","Google Drive","Google Drive; restricted source locator withheld","9","yes","underlying appraisal and balance certificates absent","Partially allows appeal as to interest limits; records €6,607,551.87 159-unit value and AC €12,251,446.21 burden","Definitive default-interest amount/classification and closing calculation reserved; the AP recital's €9,052,877.88 exceeds the earlier component total by €626.19. That recital does not displace the current 15 February 2018 date control.","159 mortgaged LPB apartments plus separate €400,000 branch","PROVEN BY PRIMARY DOCUMENT; UNRESOLVED","controlled; calculations P0"
"E029","2019-10-24","Auto","Refusal to convalidate Protocol 2150","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld","6","yes","underlying AC application/opposition pack absent","Sets aside 12 Dec act; refuses convalidation; orders republication","Reasoning contemplates undoing if better offer authorised; not a self-executing global civil-nullity judgment","31-finca branch and unitary CAM proposal","PROVEN BY PRIMARY DOCUMENT","controlled"
"E030","2019-10-24","Auto","Dismiss AC request to expel Aweswell","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Gmail","message 172134c64f5c98dd; 29b. Auto Denegada Expulsión de Aweswell - 25OCT2019.pdf; court verification code withheld","2","yes","AC 3 May application not attached","Preserves Aweswell participation because its earlier admission went unchallenged","Standing only; no ownership or merits finding; body date controls over filename","Procedural participation","PROVEN BY PRIMARY DOCUMENT","controlled"
"E031","2020-02-04","Providencia","One-year liquidation extension","Court","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Later primary judicial recital","24 Feb 2021 extension auto, Gmail message 18a8d0cbb13b9ecb","unknown","no","original, application, service and computation absent","Later auto expressly records a one-year extension","Existence/effect proved through later recital; original precise terms missing","Liquidation timetable","PROVEN BY PRIMARY DOCUMENT; DOCUMENT NOT YET LOCATED","P1"
"E032","2020-05-12","Auto","Dismiss LPB reposición and confirm non-convalidation","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld; MAT-005__Auto_Desestimacion_LPB_12MAY2020.pdf","2","yes","underlying appeal and response filings absent","Confirms 24 Oct 2019 ruling; treats AP cap route as binding; reserves later hearing on certifications","Demolition/access allegations rejected as new and late, not decided on truth; no new conveyance or possession authority","Locales/common-area allegations and debt procedure","PROVEN BY PRIMARY DOCUMENT","controlled"
"E033","2020-05-12","Auto 83/2020","Uphold Aweswell standing and archive AC nullity incident","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Gmail","message 172134c64f5c98dd; Auto 12MAY2020 Aweswell permanece.pdf; court verification code withheld","3","yes","underlying nullity application absent","Allows Aweswell reposición; revokes 3 Jul 2019 providencia; orders AC nullity incident inadmissible and archived","No appeal; standing only, not ownership or merits adjudication","Procedural participation","PROVEN BY PRIMARY DOCUMENT","controlled"
"E034","2021-01-13","Reported providencia","Preservation measure preceding 24 Feb ruling","Court","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket lead registers","unknown","no","original, application and service absent","Repository register identifies a preservation act later considered in 24 Feb auto","Secondary locator only; exact operative terms unknown","Alleged works/access and estate preservation","DOCUMENT NOT YET LOCATED","P1"
"E035","2021-01-18","Auto aclaratorio","Refuse clarification of 12 May 2020 ruling","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld; 30. Auto Aclaración denegada 18ENE2021.pdf","2","yes","none indicated","Refuses to reopen interest/res-judicata holding through clarification","No new euro calculation, asset effect or title; final under art. 214.4 LEC","Debt procedure only","PROVEN BY PRIMARY DOCUMENT","controlled"
"E036","2021-01-25","Auto","Republication of CAM proposal","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld","4","yes","publication/service and underlying certifications incomplete","Reopens ten-working-day better-offer route with debt, €400,000, costs and Community conditions","Figures are competitive-entry conditions, not necessarily final allowed debts","Same 159 plus 31 LPB branches","PROVEN BY PRIMARY DOCUMENT","controlled"
"E037","2021-01-29","Edicto and cédula de notificación","Publication of better-posture conditions","LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld; 22. EDICTO Cedula de Notificacion 29ENE2021.pdf","2","yes","proof of every publication/service route absent","Publishes €11,941,921.02 first-rank plus €1,226,161 second-rank components, separate €400,000, €1,145,798.29 Community component and unknown taxes/costs","Notice and competitive threshold only; not adjudication, final debt or realised price","Enumerated 159 plus 31 LPB branches","PROVEN BY PRIMARY DOCUMENT","controlled; publicity/service P1"
"E038","2021-02-08","Native proposed offer text","third-party bidder €14.8m better posture","third-party bidder Corporación","Proposed submission to Juzgado Mercantil nº 1 and AC","Concurso 36/2012, Section 5","Google Drive","Native Drive document; restricted source locator withheld; oferta vinculante third-party bidder 8feb2021","no fixed page count","yes","examined version contains placeholders and blank execution/acceptance blocks","Proposes €14.8m own-funds cash purchase subject to conditions and future deed","Proves proposed text only; filing, authority, execution, acceptance, proof of funds and binding effect unresolved","Enumerated 159 plus 31 package; hotel shorthand","PROVEN BY PRIMARY DOCUMENT; UNRESOLVED","court-filed executed offer and funds pack P1"
"E039","2021-02-24","Auto","One-year liquidation extension","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Gmail","message 18a8d0cbb13b9ecb; AUTO Ampliación Liquidación (incluye accion vs Bankia por SWAP) 24FEB2021.pdf","2","yes","application and service/finality pack absent","Extends liquidation one year from order due to difficulties and contemplated Bankia nullity actions","If unfinished AC must seek and explain new extension; no disposition, possession or debt effect","Liquidation timetable only","PROVEN BY PRIMARY DOCUMENT","controlled; downstream extension/conclusion P0"
"E040","2021-02-24","Auto","Reposición and urgent measures concerning works/access","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld","4","yes","underlying photographs/expert materials incomplete","Maintains refusal of inspection, expert and stop-work measures; records competing positions and mixed ownership","Not title, possession or exploitation authority; truth of allegations not determined","Mixed complex and alleged locales works","PROVEN BY PRIMARY DOCUMENT","controlled"
"E041","2021-05-06","Auto","Confirm 25 January republication order","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld","4","yes","none indicated","Confirms republication and expressly refuses to adjudicate existence/amount of Community credit","Bid condition is not an allowed-credit finding; works/control claims outside order","Competitive proposal perimeter","PROVEN BY PRIMARY DOCUMENT","controlled"
"E042","2021-05-06","Auto 356/2021","Reject LPB nullity application on default interest","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Nulidad LOPJ-12 in Concurso 36/2012","Gmail","message 1796aa406ac83582; Adjunto1(26).pdf; court verification code withheld","2","yes","underlying nullity application absent","Dismisses LPB attempt to revisit default-interest exclusion through nullity","No appeal; no new euro calculation, title or possession effect","Debt procedure only","PROVEN BY PRIMARY DOCUMENT","controlled"
"E043","2021-05-12","Providencia","Convene licitation appearance and set third-party bidder bond","Judge Alberto López Villarrubia; LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld","2","yes","appearance recording and court-filed third-party bidder pack absent","Opens art. 210.4 licitation; sets 18 May appearance and €735,694.02 bond","Reposición non-suspensive; third-party bidder had to attend and deposit","Enumerated 159 plus 31 branches","PROVEN BY PRIMARY DOCUMENT","controlled; third-party bidder/appearance pack P1"
"E044","2021-05-18","Auto 164/2021","Definitive approval of CAM proposal","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld","5","yes","underlying appearance recording absent","Definitively approves CAM proposal after third-party bidder nonappearance and nondeposit","Still required finality/enforceability, lawful debt, deeds, €400,000 branch, costs, reporting, cancellations, registry and accounts","159 enumerated LPB apartments plus 31-finca branch","PROVEN BY PRIMARY DOCUMENT","controlled"
"E045","2021-07-08","Reported providencia","Require detailed AC liquidation report and warn of possible responsibility","Court","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket lead registers","unknown","no","original, service and AC response absent","Repository register identifies a judicial demand for detailed liquidation reporting","Secondary locator only; exact warning and compliance unknown","Liquidation accounting and AC conduct","DOCUMENT NOT YET LOCATED","P1"
"E046","2021-10-15","Auto","Dismiss challenges to 18 May and confirm approval","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld","5","yes","none indicated","Dismisses LPB/Aweswell reposiciones and confirms 18 May; describes process as improvement-of-offer, not formal auction","No proof of performance, final debt, title, cancellation or surplus","Fincas propiedad de la concursada","PROVEN BY PRIMARY DOCUMENT","controlled"
"E047","2021-10-15","Auto","Dismiss challenges to 12 May providencia","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld","2","yes","none indicated","Dismisses challenges as moot but uses auction/adjudication terminology","Terminology later clarified; no scope enlargement or performance proof","Same proposal","PROVEN BY PRIMARY DOCUMENT; CONTRADICTED","controlled"
"E048","2021-10-27","Diligencia de ordenación","Receipt of AC quarterly report 7425/2021","LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Google Drive","Google Drive; restricted source locator withheld","1","yes","underlying report 7425/2021 absent","Joins and transfers quarterly report","Proves receipt only; report contents unknown","Liquidation status","PROVEN BY PRIMARY DOCUMENT; DOCUMENT NOT YET LOCATED","P1 report"
"E049","2022-01-25","AC quarterly report","Status before dación and mass-credit accounting","Insolvency administrator","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Gmail","message 17ebb618b0608771; Adjunto2(46).pdf","4","yes","post-deed accounts absent","Reports deed still outstanding, treasury €2,472.58 and detailed mass-credit payments; no surplus payment reported","AC representation, not merits ruling or final closing ledger; says procedural challenges remained","Liquidation status and treasury","PROVEN BY PRIMARY DOCUMENT","controlled; post-deed accounts P0"
"E050","2022-01-26","Auto aclaratorio A","Clarify 15 October order concerning 12 May providencia","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Gmail","message 17ea1b081fb1b620; Adjunto1(72).pdf","2","yes","individual responses/service log absent","Clarifies event was better-offer licitation appearance, not auction","Clarification only; no original approval, conveyance, consideration, scope enlargement or surplus","No asset-scope change","PROVEN BY PRIMARY DOCUMENT","controlled"
"E051","2022-01-26","Auto aclaratorio B","Clarify and complete other 15 October order","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Gmail","message 17ea1adf8c8ee44a; Adjunto1(71).pdf","3","yes","individual responses/service log absent","Resolves omissions/date; records July 2021 ownership publicity was put before court but held irrelevant to finca realisation","Recital is not whole-hotel title finding; no conveyance, debt or surplus decision","No asset-scope change","PROVEN BY PRIMARY DOCUMENT","controlled"
