Master_ID,Legacy_ID,Record_Type,Is_Proceeding,Proceeding_Class,Stream,Geography,Origin_Organ,Current_Custodian,Reference,Secondary_Reference,NIG,Date_or_Period,Connection,Object_or_Purpose,Status,Latest_Known_Event,Appeal_or_Review,Parent_Master_ID,Linked_Proceedings,Source_Status,Primary_Source_Anchor,Repo_Canonical_Source,Open_Reference_Gap,Public_Treatment,Last_Scan_Date,Notes
LZ-TUR-010,LZ-TUR-010,INSPECTION_ACT,TRUE,ADMINISTRATIVE_PERIMETER,Tourism,Lanzarote,Tourism authority,Tourism authority,Inspection Act 35328/2016,,,2016,Sun Park / operator / title / works / transparency perimeter,Tourism/operator inspection,Located in operator-history work,,,,,CORPUS_REPORTED_PRIMARY_PENDING,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Certified act, annexes, entity/capacity, units and follow-up",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-CAB-011,LZ-CAB-011,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Cabildo de Lanzarote,Cabildo de Lanzarote,498/2020,,,2020,Sun Park / operator / title / works / transparency perimeter,Tourism/operator history,File reference located,,,,,OPEN_REFERENCE,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,Complete index and authenticated file,INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-CAB-012,LZ-CAB-012,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Cabildo de Lanzarote,Cabildo de Lanzarote,547/2020,,,2020,Sun Park / operator / title / works / transparency perimeter,Tourism/operator history,File reference located,,,,,OPEN_REFERENCE,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,Complete index and authenticated file,INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-CAB-013,LZ-CAB-013,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Cabildo de Lanzarote,Cabildo de Lanzarote,21219/2021,,,2021,Sun Park / operator / title / works / transparency perimeter,Tourism/operator history,File reference located,,,,,OPEN_REFERENCE,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,Complete index and authenticated file,INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-YAI-014,LZ-YAI-014,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Ayuntamiento de Yaiza,Ayuntamiento de Yaiza,1748/2022,,,2022,Sun Park / operator / title / works / transparency perimeter,Works / municipal documentation,Municipal material located,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Full index, applications, powers, title/consent, plans, reports and final acts",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-YAI-015,LZ-YAI-015,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Ayuntamiento de Yaiza,Ayuntamiento de Yaiza,7043/2022,,,2022,Sun Park / operator / title / works / transparency perimeter,Transparency/index production perimeter,Reference located,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,Complete index and authenticated source documents,INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-YAI-016,LZ-YAI-016,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Ayuntamiento de Yaiza,Ayuntamiento de Yaiza,7059/2022,,,2022,Sun Park / operator / title / works / transparency perimeter,Transparency/index production perimeter,Reference located,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,Complete index and authenticated source documents,INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-YAI-017,LZ-YAI-017,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Ayuntamiento de Yaiza,Ayuntamiento de Yaiza,10356/2022,,,2022,Sun Park / operator / title / works / transparency perimeter,Transparency/index production perimeter,Reference located,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,Complete index and authenticated source documents,INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-YAI-018,LZ-YAI-018,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Ayuntamiento de Yaiza,Ayuntamiento de Yaiza,5854/2022,,,2022,Sun Park / operator / title / works / transparency perimeter,Municipal operator/title/unit retrieval,Reference located,,,,,OPEN_REFERENCE,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,Complete index and authenticated source documents,INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-CAB-019,LZ-CAB-019,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Cabildo de Lanzarote,Cabildo de Lanzarote,3671/2022,,,2022,Sun Park / operator / title / works / transparency perimeter,Tourism/operator perimeter; totalidad de las unidades alojativas,Priority file,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Complete file, declarant, authority, unit list, title, checks and final act",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-CAB-020,LZ-CAB-020,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Cabildo de Lanzarote,Cabildo de Lanzarote,2984/2023,,,2023-2026,Sun Park / operator / title / works / transparency perimeter,Tourism file,Reported pending 13 Mar 2026,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,Current index/status and final act,INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-CAB-021,LZ-CAB-021,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Cabildo de Lanzarote,Cabildo de Lanzarote,17070/2023,,,2023,Sun Park / operator / title / works / transparency perimeter,Tourism file,Identified in Resolution 2026-2735,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Complete index, object, parties and final act",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-CAB-022,LZ-CAB-022,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Cabildo de Lanzarote,Cabildo de Lanzarote,19995/2023,,,2023,Sun Park / operator / title / works / transparency perimeter,Tourism file,Identified in Resolution 2026-2735,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Complete index, object, parties and final act",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-CAB-023,LZ-CAB-023,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Cabildo de Lanzarote,Cabildo de Lanzarote,7206/2024,,,2024-2026,Sun Park / operator / title / works / transparency perimeter,Tourism file,Reported pending 13 Mar 2026,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,Current status and final act,INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-CAB-024,LZ-CAB-024,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Cabildo de Lanzarote,Cabildo de Lanzarote,4887/2025,,,2025,Sun Park / operator / title / works / transparency perimeter,Tourism file,Reference identified,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Complete index, object, parties and final act",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-CAB-025,LZ-CAB-025,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Cabildo de Lanzarote,Cabildo de Lanzarote,614/2026,,,2026,Sun Park / operator / title / works / transparency perimeter,Access / production across tourism files,Resolution 2026-2735 identified,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Execution of access, authenticated production and later response",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-YAI-026,LZ-YAI-026,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Ayuntamiento de Yaiza,Ayuntamiento de Yaiza,5891/2026,,,2026,Sun Park / operator / title / works / transparency perimeter,Municipal traceability,Relevant file identified,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Index, object, filing chain, title/unit documents and current status",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-TRA-027,LZ-TRA-027,TRANSPARENCY_CLAIM,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Comisionado de Transparencia de Canarias,Comisionado de Transparencia de Canarias,R2026000054,,,2026,Sun Park / operator / title / works / transparency perimeter,Access against Yaiza,Partially upheld; indexes ordered,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Compliance record, documents produced and follow-up",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-TRA-028,LZ-TRA-028,TRANSPARENCY_CLAIM,TRUE,ADMINISTRATIVE_PERIMETER,Administrative / professional,Lanzarote,Comisionado de Transparencia de Canarias,Comisionado de Transparencia de Canarias,Challenge re Resolution 28/2026,,,2026,Sun Park / operator / title / works / transparency perimeter,Separate transparency challenge,Filed 11 Aug 2026; assigned ref pending,,,,,VERIFIED_PROCEDURAL,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Assigned reference, admission, record and final decision",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-PRO-029,LZ-PRO-029,PROFESSIONAL_DISCIPLINE,TRUE,SUPERVISION,Administrative / professional,Lanzarote,Colegio Oficial de Arquitectos de Lanzarote,Colegio Oficial de Arquitectos de Lanzarote,RE 26/008230,,,2026,Sun Park / operator / title / works / transparency perimeter,Professional preservation/deontological request,Registered 14 Jul 2026,,,,,VERIFIED_PROCEDURAL,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Official file number, custodian, preservation/transfer and final decision",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-TEC-030,LZ-TEC-030,TECHNICAL_REFERENCE,FALSE,TECHNICAL_REFERENCE_NOT_PROCEEDING,Administrative / professional,Lanzarote,Colegio/technical project source unresolved,Colegio/technical project source unresolved,22/000036/7800,,,2022,Sun Park / operator / title / works / transparency perimeter,Project/visado metadata,Technical identifier only,,,,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Authenticate original visado, issuer/custodian and linked professional file",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
GC-JUD-001,GC-JUD-001,JUDICIAL_PROCEEDING,TRUE,DIRECT,Insolvency,Gran Canaria,Juzgado de lo Mercantil nº 1 / Sección Mercantil Plaza 1,Juzgado de lo Mercantil nº 1 / Sección Mercantil Plaza 1,Concurso ordinario 36/2012,,3501647120120000351,2012-present,LPB insolvency; credit; liquidation; title; AC; calificación,Core insolvency proceeding,Long-running; multiple sections/appeals,,,,,VERIFIED_PROCEDURAL,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,Complete certified electronic index and every material section/incident,INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-31,"CAEPR PD-SP-R-0001 (^). Core proceeding identity does not merge its sections incidents or appellate rolls."
GC-CAL-002,GC-CAL-002,JUDICIAL_INCIDENT,TRUE,DIRECT,Insolvency qualification,Gran Canaria,Juzgado de lo Mercantil nº 1,Audiencia Provincial de Las Palmas (appeal treatment),Sentencia 163/2023,28/09/2023; calificación of Concurso 36/2012,,2023-present,LPB calificación,Culpable classification judgment,Materially adverse first instance; appealed,,Appeal pending/under appellate treatment,GC-JUD-001,,VERIFIED_PRIMARY,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,Full appellate record and current result,INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,"Subject is LPB, not the whole mixed-ownership Sun Park complex; preserve CR-020."
GC-CIV-003,GC-CIV-003,JUDICIAL_PROCEEDING,TRUE,DIRECT,Civil preliminary disclosure,Gran Canaria,JPI nº 2 Las Palmas,JPI nº 2 Las Palmas,Diligencias Preliminares 1041/2017,,,2017-2018,LPB v CAM assignment disclosure route,Disclosure of assignment deed/economic terms,Admission/disclosure route; later archive/discontinuance identified,,,,,VERIFIED_PROCEDURAL,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Signed 19 Dec 2017 order, production, 5 Mar 2018 decree and annexes",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
GC-APP-004,GC-APP-004,APPEAL_ROLL,TRUE,DIRECT,Civil / insolvency appellate,Gran Canaria,Audiencia Provincial de Las Palmas,Audiencia Provincial de Las Palmas,RPL 2523/2025,,,2025-2026,Concurso 36/2012 / AC / calificación,Calificación record completeness / information certification,Proceeding identified; current status incomplete,,,GC-CAL-002,,VERIFIED_PROCEDURAL,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Complete roll, appealed act, parties, transmitted record and responses",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-31,"CAEPR PD-SP-R-0002 (^). Parent corrected to the appealed Calificación object Sentencia 163/2023; RPL 2523/2025 remains a distinct appellate proceeding."
GC-APP-005,GC-APP-005,APPEAL_ROLL,TRUE,DIRECT,Civil / insolvency appellate,Gran Canaria,Audiencia Provincial de Las Palmas,Audiencia Provincial de Las Palmas,RPL 3304/2025,LPB removal appeal,,2025-2026,Concurso 36/2012 / AC removal,LPB appeal against refusal to remove the Insolvency Administrator,Accumulated merits appeal; later result not located,Auto 223/2026 of 15 Jul 2026 accumulated RPL 3319/2025 and ordered further procedural steps,,GC-JUD-001,GC-APP-006,VERIFIED_PROCEDURAL,Auto 223/2026 and controlled AP records,archive/AC_SEPARATION_FEES_AUTOS_DP1901_REFERENCE22_UNITARY_DIGEST_23AUG2026.md,"Complete certified roll, later-document decision, merits disposition and finality",PUBLIC_SUMMARY_WITH_PROCEDURAL_LIMITS,2026-08-26,CAEPR PD-SP-R-0011 (^); the earlier 9 Jul 2026 deliberation marker was scheduling only.
GC-APP-006,GC-APP-006,APPEAL_ROLL,TRUE,DIRECT,Civil / insolvency appellate,Gran Canaria,Audiencia Provincial de Las Palmas,Audiencia Provincial de Las Palmas,RPL 3319/2025,Aweswell removal appeal,,2025-2026,Concurso 36/2012 / AC removal,Aweswell appeal against refusal to remove the Insolvency Administrator,Accumulated into RPL 3304/2025; later result not located,Auto 223/2026 of 15 Jul 2026 accumulated into 3304/2025,,GC-JUD-001,GC-APP-005,VERIFIED_PROCEDURAL,Auto 223/2026 and controlled AP records,archive/AC_SEPARATION_FEES_AUTOS_DP1901_REFERENCE22_UNITARY_DIGEST_23AUG2026.md,"Complete certified roll, grounds, opposition, merits disposition and finality",PUBLIC_SUMMARY_WITH_PROCEDURAL_LIMITS,2026-08-26,CAEPR PD-SP-R-0012 (^).
GC-APP-007,GC-APP-007,APPEAL_FAMILY_REFERENCE,FALSE,AGGREGATE_REFERENCE_NOT_PROCEEDING,Civil / insolvency appellate,Gran Canaria,Audiencia Provincial de Las Palmas,Audiencia Provincial de Las Palmas,AC removal appeal family,RPL 3304/2025 + RPL 3319/2025,,2025-2026,Concurso 36/2012 / AC removal,Aggregate continuity reference for the LPB and Aweswell appeals following Auto 1377/2025 and the 11 Nov 2025 reconsideration order,Aggregate reference only; exact rolls separately mapped; final merits outcome open,Auto 223/2026 of 15 Jul 2026 accumulated the rolls,,GC-JUD-001,GC-APP-005; GC-APP-006,VERIFIED_PROCEDURAL,Full-text records R01-R32 and ten-key-decision public-PDF set,archive/CONCURSO36_AUTOS_FULLTEXT_UNITARY_RECORD_23AUG2026.md,"Current signed merits result and finality for each exact roll",PUBLIC_FULLTEXT_REDACTED_WITH_KEY_PDFS,2026-08-30,CAEPR PD-SP-R-0013 continuity reference only; not a third or exact proceeding and not caret-eligible. Exact proceedings remain GC-APP-005 and GC-APP-006. First-instance orders rejected standing and did not adjudicate the seven substantive removal blocks.
GC-CIV-027,,JUDICIAL_PROCEEDING,TRUE,DIRECT,Civil professional liability,Gran Canaria,Juzgado de lo Mercantil nº 2 de Las Palmas de Gran Canaria,Juzgado de lo Mercantil nº 1 de Las Palmas de Gran Canaria,P.O. 641/2024,"Pleading caption ORD 134/2024; originating/transfer reference 582/2024",,2024-2026,Concurso 36/2012 / AC remuneration,Collective estate-damage claim concerning remuneration and interest,Sentencia 4/2026 dismissed for lack of Aweswell standing without reaching remuneration merits,Sentencia 4/2026 dated 21 Jan 2026,RPL 421/2026,,GC-APP-028,VERIFIED_PRIMARY,Full-text records F01-F18 including claim defences judgment and appeal,archive/CONCURSO36_AUTOS_FULLTEXT_UNITARY_RECORD_23AUG2026.md,"Certified docket reconciling 134/2024 582/2024 and 641/2024; missing cited 1 Sep 2025 decree; finality",PUBLIC_FULLTEXT_REDACTED_WITH_KEY_PDFS,2026-08-26,CAEPR PD-SP-R-0014 (^); claimed EUR 110956.97 for return to the insolvency estate; legality and quantum not adjudicated.
