id,date,act_type,actor_class,signatory_status,matter,source_status,key_locator
C36-JUD-2019-10-24-002,2019-10-24,Auto,MAGISTRADO,ALBERTO_CONTROLLED,Non-convalidation / deed,PRIMARY_BINARY_LOCATED,"Auto No Convalidacion Desvinculacion y Compraventa...24OCT2019.pdf"
C36-JUD-2020-05-12-001,2020-05-12,Auto,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Non-convalidation appeal,CONNECTED_PRIMARY_COPY_LOCATED_SERVICE_FINALITY_OPEN,"restricted Drive locator withheld"
C36-JUD-2020-05-12-002,2020-05-12,Auto 83/2020,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Aweswell standing / AC nullity incident,CONNECTED_COMPLETE_COPY_UNDERLYING_FILINGS_OPEN,"Gmail 172134c64f5c98dd; Auto 12MAY2020 Aweswell permanece.pdf"
C36-JUD-2021-01-13-001,2021-01-13,Providencia,MAGISTRADO,VERIFY,Section 5 Aweswell application,REFERENCED_BY_LATER_ACT,"reposicion outcome source family"
C36-JUD-2021-01-25-001,2021-01-25,Auto,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Republication / better-offer route,CONNECTED_PRIMARY_COPY_LOCATED_PUBLICATION_SERVICE_OPEN,"restricted Drive locator withheld; 4 pages"
C36-LAJ-2021-02-23-001,2021-02-23,Diligencia de Ordenación,LAJ,VERIFY,Reposicion admission,DISCOVERY_WORKBOOK,"Guión ProcConcursal T.2T 486"
C36-LAJ-2021-02-26-001,2021-02-26,Diligencia de Ordenación,LAJ,AGUEDA_REYES_ALMEIDA,Deposit refund,DISCOVERY_WORKBOOK,"Guión ProcConcursal T.2T 428-430"
C36-LAJ-2021-03-03-001,2021-03-03,Diligencia de Ordenación,LAJ,VERIFY,Deposit refund implementation,DISCOVERY_WORKBOOK,"Guión ProcConcursal T.2T 499"
C36-JUD-2021-05-06-001,2021-05-06,Auto,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Confirmation of 25-Jan republication,CONNECTED_COMPLETE_COPY_SERVICE_OPEN,"restricted Drive locator withheld; 4 pages"
C36-JUD-2021-05-06-002,2021-05-06,Auto 356/2021,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,LPB nullity application / default interest,CONNECTED_COMPLETE_COPY_SERVICE_OPEN,"Gmail 1796aa406ac83582; Adjunto1(26).pdf; 2 pages"
C36-JUD-2021-05-12-001,2021-05-12,Providencia,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Licitation / liquidation,COMPLETE_ELECTRONIC_COPY_STANDALONE_SERVICE_OPEN,"Gmail 19faa3662ff7b3dd; controlled CGPJ annex; 2 pages"
C36-JUD-2021-05-18-001,2021-05-18,Auto 164/2021,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Definitive CAM proposal approval,SIGNED_PRIMARY_BINARY_LOCATED_SERVICE_IMPLEMENTATION_OPEN,"restricted Drive locator withheld; SHA-256 093092dd10764ef995d9a2851d4b4e5c8911d245a212927d1db4bdfcc326abf7"
C36-JUD-2021-10-15-001,2021-10-15,Auto,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Challenges to 18-May approval,SIGNED_PRIMARY_BINARY_LOCATED_SERVICE_FINALITY_CONTEXT_OPEN,"restricted Drive locator withheld; SHA-256 1961b8c30889fc93dabc355762cb28fcffc6982761eab51dc80bee5947be48ca"
C36-JUD-2021-10-15-002,2021-10-15,Auto,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Challenges to 12-May Providencia,CONNECTED_COMPLETE_COPY_HASH_SERVICE_OPEN,"restricted Drive locator withheld; 2 pages"
C36-LAJ-2021-10-27-001,2021-10-27,Diligencia de Ordenación,LAJ,VERIFY_FROM_SIGNED_COPY,AC quarterly filing,SIGNED_PRIMARY_BINARY_LOCATED,"restricted Drive locator withheld; SHA-256 607555b13c2e815395ec3064adc270d70919057ebb82950b3673066910655543"
C36-JUD-2022-01-26-001,2022-01-26,Auto aclaratorio,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Clarification of 15-Oct act concerning 12-May,CONNECTED_COMPLETE_AUTHENTIC_COPY_SERVICE_OPEN,"Gmail 17ea1b081fb1b620; Adjunto1(72).pdf; 2 pages"
C36-JUD-2022-01-26-002,2022-01-26,Auto aclaratorio,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Clarification of 15-Oct confirmation of 18-May,CONNECTED_COMPLETE_AUTHENTIC_COPY_SERVICE_OPEN,"Gmail 17ea1adf8c8ee44a; Adjunto1(71).pdf; 3 pages"
C36-LAJ-2022-04-26-001,2022-04-26,Decreto,LAJ,VERIFY_FROM_CONNECTED_COPY,Reposición concerning 11-Feb act,CONNECTED_PRIMARY_COPY_LOCATED_SIGNATURE_SERVICE_REVIEW_OPEN,"Gmail 1806f701992b43a6; Adjunto1(116).pdf"
C36-LAJ-2022-04-26-002,2022-04-26,Decreto,LAJ,VERIFY_FROM_CONNECTED_COPY,Reposición concerning 14-Feb testimony/finality,CONNECTED_PRIMARY_COPY_LOCATED_SIGNATURE_SERVICE_REVIEW_OPEN,"Gmail 1806f701992b43a6; Adjunto1(117).pdf"
C36-LAJ-2022-07-28-001,2022-07-28,Diligencia de Ordenación,LAJ,VERIFY_FROM_CONNECTED_COPY,Review of 26-Apr decrees,CONNECTED_PRIMARY_COPY_LOCATED_CERTIFIED_DOCKET_SERVICE_OPEN,"Gmail 1824b599b8568a72; Adjunto1(107).pdf"
C36-LAJ-2023-03-31-001,2023-03-31,Diligencia de Ordenación,LAJ,AGUEDA_REYES_ALMEIDA,Calificacion Vista schedule,COMPLETE_SIGNED_COPY_SERVICE_EXHORT_RETURNS_OPEN,"Act date 31-Mar; NOTIF. 05/04/23; 25/26-Jul programme at 09:30"
C36-OFC-2023-07-24-001,2023-07-24,Evidence handling incident,COURT_OFFICE,UNKNOWN,CD evidence accessibility,CONTEMPORANEOUS_COMMUNICATION,"Espejo court email 24JUL2023"
C36-JUD-2023-09-28-001,2023-09-28,Sentencia 163/2023,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Calificacion,PRIMARY_SIGNED,"EE-002-A__AUTO_CONCURSO_CULPOSO.pdf canonical correction"
