Source_Pages,Presented,REGAGE,Recipient,Subject,Annexes
36-37,30/01/2026 13:08:23,REGAGE26e00009619555,Fiscalia Provincial de Santa Cruz de Tenerife,Impulso y estado de actuaciones – Denuncia penal REGAGE26e00002509453,0
38-39,27/01/2026 18:06:35,REGAGE26e00008174024,Fiscalia Provincial de Las Palmas,Ampliación penal: instrumentalización concursal y explotación hotelera SUN PARK,1
40-41,27/01/2026 16:46:30,REGAGE26e00008135470,Fiscalia Provincial de Las Palmas,Ampliación denuncia penal — atribución falsa de explotación (SUN PARK),1
42-43,26/01/2026 18:24:15,REGAGE26e00007671618,Fiscalia Provincial de Las Palmas,Denuncia Penal con prueba documental — actuaciones continuadas de FMMM,4
44-45,25/01/2026 19:56:07,REGAGE26e00007274391,Fiscalia Provincial de Las Palmas,Ampliación de denuncia penal – investigación unitaria SunPark /Concurso 36/2012,1
46-47,25/01/2026 00:21:12,REGAGE26e00006926791,Fiscalia de la Comunidad Autonoma de Canarias,"D. Gil Marer, mayor de edad, con DNI/NIE [REDACTED_NIE], actuando en su propio nombre",0
48-49,24/01/2026 22:07:07,REGAGE26e00006889281,Fiscalia Provincial de Las Palmas,Denuncia penal autónoma – instrumentalización unidades hoteleras SUN PARK,1
50-51,24/01/2026 13:30:04,REGAGE26e00006729771,Fiscalia Provincial de Las Palmas,Ampliación denuncia penal – explotación económica sin título (Sun Park),1
52-53,23/01/2026 22:48:10,REGAGE26e00006380826,Fiscalia Provincial de Las Palmas,DENUNCIA PENAL AUTÓNOMA – Hechos económicos en Concurso 36/2012,1
54-55,22/01/2026 16:12:27,REGAGE26e00005766071,Fiscalia Provincial de Las Palmas,Hechos nuevos – CNMV y trazabilidad supervisora Sun Park (Concurso 36/2012),1
56-57,22/01/2026 14:52:50,REGAGE26e00005739082,Fiscalia Provincial de Las Palmas,Activación e investigación penal – conducta judicial post RIC (Concurso 36/2012),1
58-59,21/01/2026 01:25:24,REGAGE26e00005045671,Fiscalia Provincial de Las Palmas,Comunicación institucional y solicitud de actuaciones – Concurso 36/2012,1
60-61,20/01/2026 23:05:13,REGAGE26e00005031882,Fiscalia Provincial de Las Palmas,Acompaña denuncia penal – utilización extraprocesal de auto no firme,1
62-63,20/01/2026 22:24:26,REGAGE26e00005026215,Fiscalia Provincial de Las Palmas,Denuncia penal por ejecución material divergente del plan de liquidación (LPB),1
64-65,19/01/2026 22:17:34,REGAGE26e00004639835,Fiscalia Provincial de Las Palmas,"Denuncia penal – OB REM, uso de fondos no convalidados y opacidad concursal",1
66-67,19/01/2026 22:05:43,REGAGE26e00004637447,Fiscalia Provincial de Valencia,Denuncia penal – decisiones bancarias y cesión de crédito (Valencia),1
68-70,19/01/2026 13:09:30,REGAGE26e00004464121,Fiscalia Provincial de Las Palmas,Denuncia por sabotaje de mandato judicial firme mediante coacciones,4
71-73,18/01/2026 22:07:02,REGAGE26e00004231823,Fiscalia Provincial de Las Palmas,DENUNCIA PENAL: DESAHUCIOS FRAUDULENTOS y FABRICACIÓN DE PASIVO – HOTEL SUN PARK,5
74-75,18/01/2026 18:47:32,REGAGE26e00004212180,Fiscalia Provincial de Las Palmas,Denuncia penal por obstrucción a la justicia y sabotaje concursal (36/2012),2
76-77,17/01/2026 22:31:09,REGAGE26e00004130537,Fiscalia Provincial de Las Palmas,AMPLIACIÓN DENUNCIA URGENTE: SUPLANTACIÓN DIGITAL Y PRUEBA – SUN PARK,5
78-79,16/01/2026 17:26:09,REGAGE26e00003978586,Fiscalia Provincial de Santa Cruz de Tenerife,Aportación documental AEAT y solicitud urgente de aseguramiento probatorio (Sun,1
80-81,18/01/2026 20:46:48,REGAGE26e00004224449,Fiscalia Provincial de Las Palmas,Comunicación coordinación procedimental – denuncias penales autónomas (36/2012),0
82-83,16/01/2026 17:13:09,REGAGE26e00003976575,Fiscalia Provincial de Las Palmas,Aportación de documental sobrevenida y solicitud de actuaciones urgentes – Sun,1
84-85,16/01/2026 13:40:51,REGAGE26e00003910728,Fiscalia Provincial de Santa Cruz de Tenerife,Ampliación urgente y preservación probatoria – Ejecución 163/2020 (La Laguna),3
86-87,16/01/2026 13:38:01,REGAGE26e00003908732,Fiscalia Provincial de Las Palmas,Solicitud urgente de preservación probatoria y diligencias – Operación “Sun Park,3
88-89,16/01/2026 00:52:56,REGAGE26e00003655258,Fiscalia Provincial de Las Palmas,Remisión urgente de Nota de Inteligencia Penal – Operación “Sun Park”,1
90-91,16/01/2026 00:45:04,REGAGE26e00003654762,Fiscalia Provincial de Santa Cruz de Tenerife,Ampliación y coordinación urgente de diligencias penales – Ejecución 163/2020,1
92-93,15/01/2026 22:13:43,REGAGE26e00003639389,Fiscalia Provincial de Las Palmas,Solicitud de preservación probatoria por contradicciones económicas 36/2012,5
94-95,15/01/2026 21:08:37,REGAGE26e00003629560,Fiscalia Provincial de Las Palmas,Solicitud urgente de preservación probatoria –Sun Park / Club Sei Meeting Point,2
96-97,15/01/2026 19:11:50,REGAGE26e00003609135,Fiscalia Provincial de Las Palmas,Solicitud urgente de preservación probatoria – Sun Park / Meeting Point,3
98-100,15/01/2026 13:30:47,REGAGE26e00003492334,Fiscalia Provincial de Las Palmas,Solicitud urgente de preservación probatoria Sun Park Meeting Point,5
101-102,14/01/2026 22:19:55,REGAGE26e00003250168,Fiscalia Provincial de Las Palmas,Presentación DENUNCIA PENAL CONSOLIDADA – Explotación económica sin título,1
103-104,14/01/2026 19:07:01,REGAGE26e00003220856,Fiscalia Provincial de Las Palmas,Ampliación penal: supresión de activo financiero con impacto concursal (36/2012),5
105-106,14/01/2026 11:08:15,REGAGE26e00003032686,Fiscalia Provincial de Las Palmas,Denuncia penal – Ampliación y preservación probatoria (Concurso 36/2012),5
107-108,13/01/2026 23:12:29,REGAGE26e00002890984,Fiscalia Provincial de Las Palmas,Denuncia penal por indicios de prevaricación judicial – Concurso 36/2012,3
109-110,12/01/2026 20:16:52,REGAGE26e00002509453,Fiscalia Provincial de Santa Cruz de Tenerife,Denuncia penal por estafa procesal – Ejecución 163/2020 La Laguna,3
111-112,06/01/2026 21:56:42,REGAGE26e00000915291,Fiscalia Provincial de Las Palmas,Denuncia penal por explotación económica continuada sin título jurídico,1
113-114,04/01/2026 23:02:56,REGAGE26e00000558513,Fiscalia Provincial de Las Palmas,Denuncia penal – Acta 2022 Sun Park / posible falsedad y estafa procesal,5
115-116,27/12/2025 14:10:46,REGAGE25e00112032057,Fiscalia Provincial de Las Palmas,Trazabilidad institucional de información relevante – Concurso 36/2012,5
117-118,27/12/2025 09:25:05,REGAGE25e00112013942,Fiscalia Provincial de Las Palmas,Impacto de la Cdad Prop en la contabilidad y calificación del Concurso 36/2012,2
119-120,27/12/2025 07:21:28,REGAGE25e00112010032,Fiscalia de Area de Arrecife de Lanzarote-Puerto del Rosario,SAIP - Solicitud de información y trazabilidad institucional (Sun Park),2
121-122,21/12/2025 21:59:46,REGAGE25e00110747384,Fiscalia de Area de Arrecife de Lanzarote-Puerto del Rosario,Información y trazabilidad sobre actuaciones relativas al Hotel Sun Park / MYND,0
123-124,21/12/2025 21:45:09,REGAGE25e00110746869,Fiscalia Provincial de Las Palmas,Acceso info Fiscalía – Sun Park / MYND Yaiza y acuerdos de Junta con quórum,0
125-126,21/12/2025 19:42:41,REGAGE25e00110740444,Fiscalía Europea,Información vinculada a OC/2024/0532 y riesgo para fondos de la UE,2
127-128,21/12/2025 17:26:39,REGAGE25e00110733128,Fiscalía General del Estado,SAIP – Procedimientos Madrid / delitos económicos y supresión mediática,3
129-130,21/12/2025 12:50:47,REGAGE25e00110721697,Fiscalía de la Sala de lo Penal del Tribunal Supremo,SAIP – Trazabilidad MF en DP 91/2023 y remisión a Fiscal de Delitos Económicos,0
131-132,21/12/2025 12:16:20,REGAGE25e00110720219,Fiscalia de la Audiencia Nacional,SAIP – Informes del Ministerio Fiscal en DP 91/2023 y Rollo 120/2024,0
133-134,21/12/2025 01:18:09,REGAGE25e00110650329,Fiscalia de la Comunidad Autonoma de Canarias,Trazabilidad de actuaciones fiscales vinculadas a hechos publicados en 2022,0
135-136,21/12/2025 00:00:43,REGAGE25e00110647380,Fiscalia de la Comunidad Autonoma de Canarias,SAIP – Trazabilidad y remisión al Juzgado Mercantil (LPB),0
137-139,19/12/2025 18:13:30,REGAGE25e00110488805,Fiscalia de la Comunidad Autonoma de Canarias,Solicitud de información pública y trazabilidad institucional – Canarias,0
140-141,16/12/2025 22:10:39,REGAGE25e00109448641,Fiscalia de la Comunidad Autonoma de Canarias,Efectos graves en la integridad institucional y fondos públicos,1
142-144,15/12/2025 21:36:51,REGAGE25e00109049983,Fiscalía General del Estado,"Responsabilidad institucional, seguridad judicial y protección fondos públicos",1
145-146,15/12/2025 21:18:11,REGAGE25e00109048119,Unidad de Apoyo a la Fiscalía Europea,"Responsabilidad institucional, seguridad judicial y protección fondos públicos",1
147-148,15/12/2025 21:15:44,REGAGE25e00109047819,Fiscalía Europea,"Responsabilidad institucional, seguridad judicial y protección fondos públicos",1
149-150,15/12/2025 20:59:50,REGAGE25e00109045569,Fiscalia de la Comunidad Autonoma de Canarias,"Responsabilidad institucional, seguridad judicial y protección fondos públicos",1
151-152,15/12/2025 20:57:24,REGAGE25e00109045279,Fiscalia Provincial de Las Palmas,"Responsabilidad institucional, seguridad judicial y protección fondos públicos",1
153-154,15/12/2025 20:53:36,REGAGE25e00109044837,Fiscalia de Area de Arrecife de Lanzarote-Puerto del Rosario,"Responsabilidad institucional, seguridad judicial y protección fondos públicos",1
